hCoV-19/Anhui/SZ005/2020,EPI_ISL_413485,2020-01-24
hCoV-19/USA/WA8-UW5/2020,EPI_ISL_413486,2020-03-01
hCoV-19/USA/WA9-UW6/2020,EPI_ISL_413487,2020-03-01
hCoV-19/Germany/NRW-01/2020,EPI_ISL_413488,2020-02-28
hCoV-19/Italy/UniSR1/2020,EPI_ISL_413489,2020-03-03
hCoV-19/New_Zealand/01/2020,EPI_ISL_413490,2020-02-27
hCoV-19/England/09c/2020,EPI_ISL_412116,2020-02-09
hCoV-19/Zhejiang/WZ-02/2020,EPI_ISL_404228,2020-01-17
hCoV-19/Zhejiang/WZ-01/2020,EPI_ISL_404227,2020-01-16
hCoV-19/USA/IL1/2020,EPI_ISL_404253,2020-01-21
hCoV-19/Wuhan/WH03/2020,EPI_ISL_406800,2020-01-01
hCoV-19/Wuhan/WH04/2020,EPI_ISL_406801,2020-01-05
hCoV-19/Germany/BavPat1/2020,EPI_ISL_406862,2020-01-28
hCoV-19/Switzerland/AG0361/2020,EPI_ISL_413999,2020-02-27
hCoV-19/Switzerland/TI9486/2020,EPI_ISL_413996,2020-02-24
hCoV-19/Switzerland/GE3895/2020,EPI_ISL_413997,2020-02-26
hCoV-19/USA/MA1/2020,EPI_ISL_409067,2020-01-29
hCoV-19/USA/IL2/2020,EPI_ISL_410045,2020-01-28
hCoV-19/South_Korea/KCDC06/2020,EPI_ISL_412870,2020-01-30
hCoV-19/South_Korea/KCDC07/2020,EPI_ISL_412871,2020-01-31
hCoV-19/South_Korea/KCDC12/2020,EPI_ISL_412872,2020-02-01
hCoV-19/South_Korea/KCDC24/2020,EPI_ISL_412873,2020-02-06
hCoV-19/South_Korea/KCDC05/2020,EPI_ISL_412869,2020-01-30
hCoV-19/Shanghai/SH0022/2020,EPI_ISL_416331,2020-01-30
hCoV-19/Shanghai/SH0023/2020,EPI_ISL_416332,2020-01-30
hCoV-19/Shanghai/SH0021/2020,EPI_ISL_416330,2020-02-02
hCoV-19/Shanghai/SH0026/2020,EPI_ISL_416335,2020-02-02
hCoV-19/Shanghai/SH0027/2020,EPI_ISL_416336,2020-02-01
hCoV-19/Shanghai/SH0024/2020,EPI_ISL_416333,2020-01-30
hCoV-19/Shanghai/SH0025/2020,EPI_ISL_416334,2020-02-06
hCoV-19/Shanghai/SH0030/2020,EPI_ISL_416339,2020-02-03
hCoV-19/Shanghai/SH0028/2020,EPI_ISL_416337,2020-02-04
hCoV-19/Shanghai/SH0029/2020,EPI_ISL_416338,2020-02-01
hCoV-19/Shanghai/SH0007/2020,EPI_ISL_416320,2020-01-28
hCoV-19/Shanghai/SH0008/2020,EPI_ISL_416321,2020-01-28
hCoV-19/Shanghai/SH0011/2020,EPI_ISL_416324,2020-01-29
hCoV-19/Shanghai/SH0012/2020,EPI_ISL_416325,2020-02-02
hCoV-19/Shanghai/SH0009/2020,EPI_ISL_416322,2020-01-29
hCoV-19/Shanghai/SH0010/2020,EPI_ISL_416323,2020-01-29
hCoV-19/Shanghai/SH0020/2020,EPI_ISL_416329,2020-02-01
hCoV-19/Shanghai/SH0013/2020,EPI_ISL_416326,2020-01-30
hCoV-19/Shanghai/SH0005/2020,EPI_ISL_416319,2020-01-28
hCoV-19/Shanghai/SH0041/2020,EPI_ISL_416350,2020-01-29
hCoV-19/Shanghai/SH0044/2020,EPI_ISL_416353,2020-02-04
hCoV-19/Shanghai/SH0045/2020,EPI_ISL_416354,2020-02-04
hCoV-19/Shanghai/SH0043/2020,EPI_ISL_416352,2020-01-30
hCoV-19/Shanghai/SH0050/2020,EPI_ISL_416358,2020-02-05
hCoV-19/Shanghai/SH0047/2020,EPI_ISL_416355,2020-02-04
